paper_id,filename,query,expected_answer,found,,
13,shoudho_2024_global.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","The study emphasised that biochar contributes to food security, income generation, and poverty alleviation by increasing yields and reducing input dependency. These benefits were most applicable to resource-constrained smallholders in developing countries, especially those facing climate-related yield risks.",yes,,
13,shoudho_2024_global.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar led to long-term carbon sequestration, with stable increases in soil carbon stocks. It also reduced N2O emissions and nitrate leaching, particularly in fertiliser-intensive cropping systems. Environmental benefits were more pronounced in high-rainfall tropical areas, where nutrient loss and emissions are typically higher.",yes,,
14,juraszeck_2021_europe.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar improved soil pH, nutrient retention, and organic matter levels in moderately acidic to neutral soils in temperate European climates, particularly in loamy and sandy-loam soils. However, crop yield effects were inconsistent, with some increases reported in nutrient-depleted or degraded soils, while in fertile conditions yields remained unchanged.",yes,,
14,juraszeck_2021_europe.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar increased soil moisture retention in light-textured soils and helped buffer against short-term drought stress, particularly in areas with irregular summer rainfall. These effects were more significant in sandy or mixed soils with low initial water holding capacity.",yes,,
14,juraszeck_2021_europe.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","The study discussed potential economic benefits through improved fertiliser efficiency, enhanced soil value, and long-term yield stability, although no direct measurements of income or poverty impacts were reported. Biochar was also considered to have potential for climate-smart agriculture in European policy contexts.",yes,,
14,juraszeck_2021_europe.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar significantly increased soil carbon stocks and helped reduce nitrate leaching, particularly in high-input systems. N₂O emissions were also reduced in several trials, although the extent varied with soil type and management practices.",yes,,
15,semida_2019_global.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar improved crop yield, particularly for tomato, and enhanced soil fertility in arid and semi-arid regions with sandy and loamy soils and alkaline to neutral pH. Improvements included increased soil organic matter, nutrient content, and cation exchange capacity, especially under saline irrigation and nutrient-deficient conditions.",yes,,
15,semida_2019_global.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar improved water retention and reduced evapotranspiration, helping to alleviate drought stress in arid climates. It was particularly effective in light-textured soils under water-limited and saline conditions, reducing the need for frequent irrigation.",yes,,
15,semida_2019_global.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","The study linked increased tomato yield and improved soil quality to better economic returns, noting potential for improved food production and profitability in arid regions, although no direct data on income or food security were measured.",yes,,
15,semida_2019_global.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar increased soil carbon content and reduced nitrate leaching, especially under high fertiliser and irrigation levels. The study did not directly measure GHG emissions, but highlighted the potential for carbon sequestration in degraded soils.",yes,,
16,zubairu_2023_nigeria.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar improved maize yield and enhanced soil chemical properties in acidic, sandy loam soils of northern Nigeria, which experiences a tropical savanna climate. Soil quality benefits included increased pH, organic carbon, total nitrogen, and available phosphorus, especially in degraded plots managed under rainfed conditions.",yes,,
16,zubairu_2023_nigeria.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","The study did not directly measure or discuss water retention or drought resilience effects, though it was conducted under rainfed conditions in a semi-arid environment.",yes,,
16,zubairu_2023_nigeria.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","While no direct measurements were made, the study discussed potential for increased food security and farmer incomethrough improved yields and better soil fertility, particularly for resource-constrained smallholders in degraded agro-ecological zones.",yes,,
16,zubairu_2023_nigeria.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","The study did not measure GHG emissions or carbon sequestration, but reported that biochar reduced nutrient loss by improving soil nutrient retention, particularly nitrogen and phosphorus.",yes,,
17,kyalo_2025_kenya.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar significantly increased maize and cowpea yields and improved soil fertility in acidic, sandy clay loam soilsunder a semi-arid climate in eastern Kenya. Soil pH, organic carbon, total nitrogen, and available phosphorus all improved, with effects most pronounced in degraded fields under rainfed smallholder systems.",yes,,
17,kyalo_2025_kenya.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar improved soil moisture retention and reduced water stress during dry periods in semi-arid conditions, with greatest benefits in sandy clay loam soils prone to rapid drainage. These effects supported better crop establishment and resilience under rainfed conditions.",yes,,
17,kyalo_2025_kenya.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","The study linked yield increases and soil improvements to enhanced food security and income stability for smallholder farmers, particularly in climate-vulnerable zones. It noted that biochar could support climate-resilient agriculture and reduce dependency on costly fertilisers.",yes,,
17,kyalo_2025_kenya.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar significantly increased soil organic carbon stocks, supporting carbon sequestration, and reduced nitrate leaching, particularly during heavy rains. While GHG emissions were not directly measured, the study noted potential mitigation effects from improved nutrient retention and organic matter stability.",yes,,
18,campion_2023_global.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar improved soil fertility, nutrient availability, and soil structure across a range of acidic and nutrient-depleted soils in sub-Saharan Africa, South Asia, and Latin America, especially under tropical and subtropical climates. Yield benefits were most consistent in low-input systems with sandy and degraded soils, where biochar increased pH, soil organic carbon, and cation exchange capacity.",yes,,
18,campion_2023_global.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar enhanced water holding capacity and reduced drought stress in coarse and sandy soils, especially in semi-arid and monsoon climates with irregular rainfall. These improvements helped buffer crop performance against dry spells and improved resilience under rainfed agriculture.",yes,,
18,campion_2023_global.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","The study highlighted biochar’s role in improving food security, farmer resilience, and livelihoods, particularly for smallholder and subsistence farmers. It also discussed potential for income generation through improved yields and cost savings on fertiliser, though no direct income data were reported.",yes,,
18,campion_2023_global.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar improved carbon sequestration through increases in stable soil carbon, and reduced nutrient leaching—particularly nitrate and phosphorus—in high-rainfall zones. GHG emissions were not measured directly in the reviewed projects, but mitigation potential was discussed based on nutrient cycling improvements.",yes,,
19,hansson_2020_tanzania.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","Biochar application increased maize yields and improved soil fertility in acidic, sandy loam soils of semi-arid central Tanzania. The improvements included higher soil pH, cation exchange capacity, and organic carbon, particularly in degraded fields with low baseline fertility managed by smallholder farmers under rainfed conditions.",yes,,
19,hansson_2020_tanzania.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar improved soil moisture retention in the sandy loam soils and helped mitigate yield losses during a drier-than-average growing season, indicating enhanced drought resilience under semi-arid rainfed conditions.",yes,,
19,hansson_2020_tanzania.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","The study discussed potential improvements in food security and farm income stability through increased yields and lower input needs. It also noted biochar’s value for smallholders in degraded landscapes, supporting agricultural resilience and poverty reduction goals in the region.",yes,,
19,hansson_2020_tanzania.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar increased soil carbon stocks, supporting carbon sequestration, and reduced nitrate leaching by enhancing nutrient retention. While GHG emissions were not directly measured, the paper discussed the potential for N2O reductions through improved nitrogen use efficiency.",yes,,
20,weng_2025_global.pdf,"What crop yield and soil quality improvements did biochar provide in this study, and under what specific conditions (soil pH, texture, climate)?","The study found that biochar improved soil pH, organic carbon, nutrient retention, and microbial biomass, particularly in acidic, sandy or degraded soils across tropical and subtropical climates. These improvements led to consistent yield increases in low-input systems in Africa, Asia, and Latin America. The effects were more substantial under smallholder rainfed conditions and in soils with low baseline fertility.",yes,,
20,weng_2025_global.pdf,"What water-related benefits (retention, drought resilience, irrigation needs) were observed, and in which soil types or climate conditions?","Biochar enhanced water holding capacity, plant-available water, and drought resilience, especially in coarse soilsunder semi-arid and tropical climates. It helped maintain crop performance during intermittent dry spells, and reduced water loss in rainfed systems.",yes,,
20,weng_2025_global.pdf,"What economic or social co-benefits were reported or discussed (income, poverty, food security), including indirect benefits from agricultural improvements?","Biochar was associated with improved food security, reduced poverty vulnerability, and enhanced income potentialby increasing yields, reducing fertiliser dependency, and stabilising production in climate-sensitive systems. These benefits were particularly relevant for smallholder and marginalised communities.",yes,,
20,weng_2025_global.pdf,"What environmental impacts (GHG emissions, carbon sequestration, nutrient leaching) were measured?","Biochar significantly increased carbon sequestration in soils, reduced N2O emissions, and decreased nitrate and phosphate leaching, especially in high-rainfall areas. The study reported that these environmental benefits were consistent across field trials and long-term monitoring data.",yes,,
